關鍵字,時間,網址,新聞標題,內容
covid-19,"
                                                            2020年08月06日 10:25                                                        ",https://www.ettoday.net/news/20200806/1778222.htm,睽違6年「被防疫吸引而來」　美衛生部長讚：台灣做得太好…期待見蔡總統！,"▲ 美國衛生部長艾薩（Alex Azar）。（圖／達志影像／美聯社）文／中央社即將訪問台灣的美國衛生部長艾薩今天接受美國福斯新聞訪問時表示，美台已建立重要的長期合作夥伴關係，台灣防疫表現令人讚賞。他也期待見到總統蔡英文與衛福部長陳時中。美國衛生部昨天宣布，艾薩（Alex Azar）將於近日訪台灣。這是睽違6年來，首位美國內閣級官員訪問台灣，也是1979年台美斷交以來訪台的最高層級美國官員。艾薩將代表美國總統川普與資深台灣官員及防疫專家會晤，討論美台夥伴關係、疫情應對及全球衛生等議題。外交部昨天也發出聲明表示，艾薩訪台期間將晉見蔡總統，並預計拜會外交部長吳釗燮、衛生福利部長陳時中等人。艾薩今天接受福斯新聞台（Fox News）訪問時談到訪台行程。他表示，美國與台灣已建立極為重要的長期合作夥伴關係，特別是在公共衛生領域。他指出，台灣一直是社會裡透明、合作與協作的典範，台灣對2019冠狀病毒疾病（COVID-19，武漢肺炎）的處理令人讚賞。與某些其他實體相比，台灣極具透明度。艾薩也以「台灣總統」稱呼蔡總統。他表示，期待這趟訪台行程，能與「陳部長、台灣總統與其他人」持續衛生合作，以造福台灣、美國與全球民眾。主持人在艾薩訪問結束後也特別說明，艾薩是1979年以來，訪台層級最高的美國內閣官員，也是6年來首位前往台灣訪問的美國內閣官員。Joined @AmericaNewsroom this morning. Discussed upcoming travel to #Taiwan, safely reopening America's schools, and @POTUS administration's work on COVID-19 vaccines and testing. Watch: https://t.co/1gS2AA4KYe— Secretary Alex Azar (@SecAzar) August 5, 2020  "
covid-19,"
                                                            2020年08月06日 10:15                                                        ",https://www.ettoday.net/news/20200806/1778163.htm,台灣健保和民主運作良好　菲律賓網媒Rappler執行長：令人羨慕！,▲ 菲律賓網路媒體「拉普勒」執行長瑞薩。（圖／路透）文／中央社記者陳妍君馬尼拉6日專電菲律賓新聞網站Rappler執行長、知名媒體人瑞薩接受中央社獨家專訪表示，台灣民主運作良好，大眾意識到錯誤資訊的傳播，試著應對這個問題，且健保制度「令人羨慕」。瑞薩（Maria Ressa）從事新聞工作近35年。因Rappler長期監督報導菲國總統杜特蒂掃毒戰及警方「法外處決」案件，她曾獲選為時代雜誌2018年風雲人物之一，被譽為「真相守護者」（Guardians）。瑞薩4日透過視訊接受中央社專訪。對於2019冠狀病毒疾病（COVID-19）疫情在菲律賓延燒，瑞薩說，民眾「非常憤怒」。她表示，從社群媒體留言可以看出，菲國民眾不介意封城，因為大家了解這是必要的，但「我們不希望我們的努力白費」。瑞薩說，菲國國會賦予政府巨大的權力和大筆抗疫資金，政府卻沒有能力處理人民生死攸關的問題，這使得民眾既憤怒，又對疫情感到恐懼。另外，一名在台灣的菲籍看護因為在社群媒體批評杜特蒂，菲國官員今年4月一度揚言，將把她從台灣「遞解出境」。外交部當時發表聲明指出，外籍移工在台灣享有國民待遇，言論自由受法令保障，任何人或機構不宜在未經雙方政府協商下，將當事人遣送出境。對此，瑞薩說：「我們超愛台灣的回應（We love Taiwan's response）。」她表示，這起案例顯示馬尼拉當局既傲慢，又不了解菲律賓憲法，因為這名菲國官員的要求是不合法的。瑞薩說，她和這名看護都遭菲國政府侵害權利，「我為我的權利而戰，她也為她的權利而戰，並且她勝利了」。瑞薩與杜特蒂（Rodrigo Duterte）當局關係緊張的同時，曾經數次被捕後交保獲釋，目前有8宗案件纏身。她表示，全球很多民主國家正發生像菲律賓一樣民主受到威脅的情況。鑑於中國正在擴張，並在香港實施「港區國安法」，「你們（台灣）也正經歷你們的挑戰」。瑞薩說，這些作法都試圖壓縮民主空間，「我們必須為民主奮鬥」。她表示：「我愛台灣，因為民主在台灣運作良好。你們意識到錯誤資訊的傳播，試著應對它，你們的健康醫療體系令人羨慕。」另外，瑞薩說，台灣是女性領導人帶領國家抗疫成功的範例之一。「我希望菲律賓政府也能這樣，運用科學方法，依循證據，理性思考」。面對瑞薩對政府的批評，杜特蒂本人曾多次反擊。他7月初在電視談話中說：「瑞薩是個騙子，相信我，給我們時間。瑞薩現在享受獎項為時過早…我們現階段只是在蒐集資料。有朝一日，我們會用粗體字揭露妳的言行不一致。」（編輯：韋樞） 
covid-19,"
                                                            2020年08月06日 09:41                                                        ",https://www.ettoday.net/news/20200806/1778139.htm,唐鳳再登BBC！介紹台灣防疫「快速+公平」…還有點趣味　用「卡臣」對抗謠言,"▲唐鳳BBC介紹台灣防疫。（圖／翻攝自唐鳳推特）文／中央社記者戴雅真倫敦5日專電行政院數位政務委員唐鳳4日晚間接受英國廣播公司新聞網（BBC News）訪問，介紹台灣成功防疫模式，表示台灣的防疫模式是快速、公平加上一絲趣味。台灣自2019冠狀病毒疾病（COVID-19）疫情爆發以來僅有7例死亡案例，儘管地理位置靠近中國大陸，卻創下成功防疫經驗，受到世界各地讚譽及借鏡，BBC昨晚特別與唐鳳視訊連線訪問，以「數位部長」的身份介紹唐鳳，講述「科技」在台灣防疫扮演的角色。唐鳳以3F元素表示，台灣防疫成功是因「快速，公平，趣味」（fast, fair and fun）。民眾除可透過中央流行疫情指揮中心的每日簡報，快速獲取疫情資訊，也可以透過口罩地圖APP，查看手機知道附近藥局的口罩庫存量，讓民眾不會感到恐慌，大排長龍買口罩，而是能快速取得口罩庫存資訊。How did democratic #Taiwan combat #Coronavirus?Soap, hand sanitizer, #CivicTech & plenty of trust.Amplified social innovation truly is fast, fair & fun!Watch my interview with @BBCWorld & learn more about the #TaiwanModel https://t.co/wCZTDhdSjW. pic.twitter.com/r1yNayAdnE— Audrey Tang 唐鳳 (@audreyt) August 4, 2020 她指出，疫情指揮中心也會把疫情資訊，轉換成民眾容易理解的方式。BBC曾報導台灣如何以幽默闢謠，像是行政院長蘇貞昌在闢謠文宣中，以圖表說明口罩與衛生紙的原料和產地並不相同，還用一張扭屁股的背影照，幽默表示「咱只有一粒卡臣」（我們只有一個屁股），呼籲民眾勿信謠言，不要囤貨。主持人提到民眾對政府的信賴問題，成為許多國家防疫難題。 唐鳳對此表示，「政府相信民眾」比「民眾相信政府」更為重要。她舉例說明，曾有家長反映男童怕戴粉紅色口罩會被同學霸凌，衛福部長陳時中與防疫團隊隔天開記者會時立刻戴起粉紅色口罩，政府這種快速應對作法，比任何科技都更為重要，能夠立刻影響社會大眾。主持人詢問唐鳳，公民駭客在防疫方面發揮的作用，唐鳳表示，駭客社群彼此分享資訊，像是台灣推出口罩地圖後，韓國一個月後也在駭客的協助下跟進，她個人也幫助日本東京架設防疫網站。她表示，防疫行動有越多人加入，就能越有成效。►美衛生部長代表川普訪台「斷交後最高層級」！　紐時：美中關係恐再探底►美衛生部長訪台灣惹怒北京　美國務卿強調：符合美國一貫政策►衛生部長將訪台　美國務院重申「長期挺台」…符合台灣旅行法"
covid-19,"
                                                            2020年08月06日 09:09                                                        ",https://www.ettoday.net/news/20200806/1778128.htm,美衛生部長代表川普訪台「斷交後最高層級」！　紐時：美中關係恐再探底,▲ 美國衛生部長艾薩（Alex Azar，右）期待傳達美國總統川普對台灣在全球衛生領域展現領導風範的支持。（圖／達志影像／美聯社）文／中央社記者尹俊傑紐約5日專電美國衛生部長艾薩即將率團訪台，為6年來首位訪台的美國內閣官員。紐約時報報導，美中在貿易、科技、軍事等領域激烈交鋒之際，這次高層訪問恐讓華府與北京關係進一步探底。美國衛生部4日宣布，艾薩（Alex Azar）將於近日率團訪台。紐時報導，艾薩將是1979年美國與中華民國斷交並和中華人民共和國建交以來，訪台層級最高的美國官員。艾薩透過衛生部新聞稿指出，台灣在2019冠狀病毒疾病（COVID-19，新冠肺炎）疫情期間，甚至早在疫情爆發前，就一直是全球衛生領域透明與合作的典範。他期待傳達美國總統川普對台灣在全球衛生領域展現領導風範的支持，強調美台深信自由民主社會是維護與促進健康的最佳模範。約翰霍普金斯大學（Johns Hopkins University）統計，全球逾1860萬人染疫、70萬人喪命。根據中央流行疫情指揮中心，截至5日，台灣累計476例確診、7人死亡。報導寫道，台灣官員試圖將防疫成果化為地緣政治勝局，以政府名義向美國、義大利等疫情嚴重國家捐贈數以百萬計印有Made in Taiwan（台灣製造）的口罩。中國試圖趁疫情危機宣傳專制優點，台灣則不斷擦亮民主典範招牌。美中今年為疫情交相指責，雙邊關係陷入建交40多年來最低點。除在貿易、科技、防衛與人權等領域激烈交鋒外，美中近期在亞太地區軍事活動更加活躍，令人憂心兩國恐為台灣或南海爆發衝突。北京當局近年極力壓縮台灣空間，掠奪邦交國之餘阻撓台灣以觀察員身分參與世界衛生大會（WHA）。中國外交部發言人汪文斌5日在例行記者會表示，中方堅決反對美台官方往來，已就艾薩即將訪台一事向美方提出嚴正交涉。中方敦促美方恪守一中原則和中美三個聯合公報規定，以免「嚴重損害」中美關係和台海和平穩定。根據美國衛生部，艾薩將是首位訪台的美國衛生部長，也是6年來首位訪台的美國內閣官員。上一位訪台的美國內閣官員是2014年歐巴馬執政時的環保署長吉娜麥卡錫（Gina McCarthy）。華爾街日報報導，美中建交以來，中方一直反對美國高層官員訪台，艾薩此行可能激怒北京當局。即使美國持續對台軍售，但過去無論是共和或民主黨執政，美國政府為避免激怒北京，都選擇由國務卿、國防部長或財政部長以外層級較低的部長級官員與台灣接觸。川普在美台往來上大致延續這種形態，部分觀察家認為，川普用意是確保美中貿易談判順利。但川普政府近幾個月對中國態度日益尖銳，不斷批評北京當局疫情處理失當，兩國在科技與爭奪影響力方面對抗愈來愈激烈。華府智庫戰略暨研究中心（CSIS）亞洲事務資深顧問葛來儀（Bonnie Glaser）指出，美台往來需要美國總統點頭的事情不多，除了對台軍售，派遣部長級官員訪台也是其中之一，艾薩訪台與川普政府在香港與新疆等議題上對北京日趨強硬的作風相符。 
covid-19,2020年08月06日 08:38,https://www.ettoday.net/news/20200806/1778109.htm,周曉涵深夜曬護花帥男嘟嘴合照！　親曝相識過程「爸爸主動要他睡家裡」,記者張筱涵／綜合報導藝人周曉涵5日被爆料和馬來西亞男星蘇熙喆相當親密，對方還入住自己家並且出入幾乎都會相伴，對此經紀人直接否認「兩人不可能發展」，她則在6日深夜於在Instagram寫下長文解釋和男方相識至今的來龍去脈。周曉涵6日約凌晨1點寫下長文解釋和蘇熙喆的關係，在大陸拍攝的時候認識，對方因為新冠肺炎（COVID-19）疫情暫時待在台灣，住的地方剛好也離她家很近所以就常常一起進出，再加上之前碰上陌生男襲擊事件，讓她可以避免落單。不只周曉涵和蘇熙喆交情好，蘇熙喆也常常到訪和周爸爸一起喝酒、下棋、運動和聊天，因為周曉涵弟弟移居澳門了房間沒人用，有時候待得太晚就會睡在那，而這也是周爸爸主動提的。周曉涵最後表示：「本來想寫更多的但有點懶了，故事大概就是這樣囉，謝謝收看。」▲周曉涵曬蘇熙喆合照。（圖／翻攝自周曉涵IG）另外，周曉涵也曬出了和蘇熙喆的合照開玩笑說：「哎呀，要上封面沒關係，但咋（怎麼）不挑好看點的照片，害我被外婆唸了一頓，欸欸馬來西亞小哥哥，萬一誤打誤撞莫名奇妙給紅了，可別忘記我呀！」▲周曉涵解釋和蘇熙喆同進出真相。（圖／翻攝自周曉涵IG）►護花帥男「狂歡睡進周曉涵家9hrs」！神秘關係曝光　經紀人回應了 
covid-19,"
                                                            2020年08月06日 07:51                                                        ",https://www.ettoday.net/news/20200806/1778107.htm,台灣飛國外新冠肺炎陽性率0.08‰　數據出爐！3萬9673人僅2例確診,▲陳時中呼籲民眾搭乘大眾運輸、前往人多的地方還是要戴口罩。（圖／指揮中心提供）記者洪巧藍、黃翊婷／台北報導日本女學生自台灣返日確診、泰國移工染疫陸續結案，但民眾對於台灣疫情是否會再度爆發，仍感到相當擔憂。對此，中央流行疫情指揮中心指揮官陳時中表示，今年6至7月間前往需採檢國家的人共有3萬9673人，僅出現2例確診，陽性率只有千分之0.08，數值相當低，同時這也不足以證明台灣有很多社區感染。近期接連爆出日本女學生、泰國移工、比利時工程師染疫，一度有防疫專家跳出來質疑指揮中心吃案。陳時中在5日的記者會上回應，「沒有所謂吃不吃案，吃案我就中毒了，吃了那麼多COVID-19」，現階段民眾擔心從台灣出境到國外，採檢陽性比率會很高，但今年6至7月共有3萬9673人出境到需採檢國家，當中中國大陸3萬多人最多，其他還有日本、菲律賓、泰國、馬來西亞等，結果只有日本女學生和泰國移工2例確診，陽性率僅有千分之0.08，數值相當低，也因此這3名個案不足以說台灣有很多社區感染。▲民眾擔心前往需要採檢的國家，被驗出陽性的機率會比較高。（圖／記者沈繼昌攝）至於針對菲律賓採取入境採檢，陳時中說明，主要是成本效益考量，也可以檢視高風險可能地區的相關效果，以結果來看，菲律賓檢出率非常高，但也還是有遺漏，計算菲律賓檢出陽性率達到三、四成，平常國內檢驗陽性率不到0.5％，台灣出境到其他國家陽性率千分之0.08，後續將以三成的數據與專家研究相關效益、政策評析，進一步了解狀況。此外，也有學者建議邊境管制應該考慮風險分級，如果從高風險地區入境者，可以在14天檢疫期滿後進一步採檢。陳時中認為，這種雙重保險做法「我也覺得很動心」，估計一天下來必須檢驗1200至1300件，檢驗量能也承擔得起，但經由專家小組討論評估後，認為必要性不高，畢竟從學理來看，隔離14天之後已經沒有傳染力，也沒有出關之後往外傳的疑慮，因此，現階段的檢驗入境相關檢疫政策沒有打算改變，後續等菲律賓入境篩檢措施實施1個月後，會再評估相關檢驗數字有無可參考之處。 
covid-19,"
                                                            2020年08月06日 07:19                                                        ",https://www.ettoday.net/news/20200806/1778093.htm,川普主張「小孩對疫情免疫」學校應重開放　臉書秒刪貼文：違反社群政策,▲美國總統川普頻頻有脫序言行。（圖／路透）記者張靖榕／綜合外電報導臉書於美東時間周三（5日），將美國總統川普一則關於2019冠狀病毒（COVID-19，新冠肺炎）的貼文移除，因貼文影片含有錯誤資訊。川普的貼文為一則影片，是他於當天上午接受《福斯新聞》（FOX News）訪問的內容；然而臉書很快將貼文下架，立刻引起風波。川普重申他認為學校應該重新開放，「這件事（疫情）會消失，就像事情會消失」，「很難相信，但小孩對新冠肺炎幾乎能夠免疫，因為出於某種原因，孩子們的免疫系統對這個病毒，比我們大人還要更強壯。」臉書發言人史東（Andy Stone）當天傍晚在聲明中表示，「影片裡提到有一群人對新冠肺炎免疫，這是錯誤的主張，觸犯我們關於新冠肺炎假消息的政策。」他指出川普在影片中提到「小孩幾乎對新冠病毒免疫」，因此遭臉書下架貼文。臉書並非第一次移除川普貼文，但是第一次因為新冠肺炎的錯誤訊息而移除。6月，臉書財因川普競選廣告中含有納粹圖案，將該則貼文下架；然而臉書執行長祖克柏（Mark Zuckerberg）在非裔佛洛伊德之死引發全美抗爭中，卻多次未對川普的種族言論有所作為，也遭致網友、員工甚至高階主管的猛烈批評。同一則「小孩免疫新冠肺炎」的貼文早先由川普的競選團隊貼出，隨後川普的個人粉專也轉貼該則貼文，目前還留在推特頁面上。 
covid-19,"
                                                            2020年08月06日 06:23                                                        ",https://www.ettoday.net/news/20200806/1778094.htm,醫批指揮中心打混仗！要求「8大場所戴口罩」卻不罰　「粉飾無本土個案這件事」,記者黃翊婷／綜合報導比利時工程師在台灣確診，讓不少民眾擔憂疫情可能會再度大爆發，甚至失控。雖然中央流行疫情指揮中心5日列出「8大場所」，請民眾出入時務必配戴口罩，但中國醫藥大學附設醫院感染科主任王任賢認為，如果沒有針對違規者給予任何強制或裁罰，就像是在粉飾沒有本土個案這件事，宛如在打混仗。▲指揮中心呼籲民眾仍應保持社交距離，若不能就戴口罩。（圖／記者李毓康攝）指揮官陳時中在5日的記者會上提到，考量到近期民眾的防疫態度有些鬆散，因此列出「8大場所」，提醒大家出入這些場所務必要配戴口罩，包含醫療院所、人口密集機構、大眾運輸、賣場或市集、教育學習場所、休閒娛樂場所、宗教場所及大型活動。不過，中國醫藥大學附設醫院感染科主任王任賢向《聯合新聞網》表示，指揮中心請民眾戴口罩，代表已經注意到有可能出現社區感染的風險，雖然他們依舊覺得台灣社區是安全的，但匡列篩檢的個案太少，所以無法確定到底有多少潛在感染，至於「務必戴口罩」一事，有規定卻沒有任何強制或裁罰措施，就像是在粉飾沒有本土個案這件事，宛如在打混仗。▼▲陳時中在記者會上列出「8大場所」，請民眾前往這些地點務必配戴口罩。（圖／指揮中心提供、記者徐斌慎攝）其實王任賢日前曾針對日本女學生、泰國移工以及比利時工程師染疫一事，批評指揮中心明顯是在吃案。對此，陳時中曾回應，民眾擔心台灣出境到國外採檢陽性比率很高，今年6至7月共有3萬9673人前往需要採檢的國家，當中中國大陸3萬多人最多，其他還有日本、菲律賓、泰國、馬來西亞等，結果就只有日本女學生和泰國移工2例確診，陽性率僅有千分之0.08，數值相當低，也因此這3名個案不足以證明台灣有很多社區感染。「沒有所謂吃不吃案，吃案我就中毒了，吃了那麼多COVID-19。」陳時中表示，指揮中心會持續分析、研究防疫政策專家提出的指教，之前的專家會議也把整體政策做複習跟檢視，過往最多的建議就是「是否用檢驗取代檢疫」，不過，經過這幾個月已經了解隔離檢疫的重要性，大家對於檢疫時間長短等仍有討論，至於檢驗取代檢疫的看法已經一致了解，檢驗無法取代檢疫。 
covid-19,"
                                                            2020年08月06日 06:00                                                        ",https://www.ettoday.net/news/20200806/1778094.htm,美衛生部長訪台灣惹怒北京　美國務卿強調：符合美國一貫政策,▲美國國務卿蓬佩奧（Mike Pompeo）。（圖／路透）文／中央社記者徐薇婷華盛頓5日專電美國衛生部長艾薩近日將訪台，引發中國強烈不滿。美國國務卿蓬佩奧今天表示，艾薩訪台符合美國一貫政策，並有深遠重要目的，他將與台方討論台灣成功防疫經驗。美國衛生部4日宣布，美國衛生部長艾薩（Alex Azar）近日將率團造訪台灣，是睽違6年後首位訪台的美國內閣級官員，層級也是美台1979年斷交以來最高。中國外交部不滿表示，已向美方提出嚴正交涉，要求停止一切形式美台官方往來，「不向台獨勢力發出任何錯誤信號」。美國國務卿蓬佩奧（Mike Pompeo）今天舉行媒體簡報會，現場有記者提及北京不滿艾薩將訪台，並詢問美方為何決定派艾薩到台灣，以及背後是否想傳達什麼訊息。蓬佩奧不願多談美方決策因素，但表示先前也有其他美國內閣官員造訪台灣，這與過去政府政策一致。蓬佩奧指出，艾薩此次訪台有深遠重要目的，美國仍處於疫情中，艾薩將與台方討論台灣防疫成功經驗，並了解台灣是如何處理疫情。蓬佩奧說：「美方一直希望台灣能參與世界衛生大會（WHA）討論，但遭中國阻擋，所以我們將造訪台灣，與台方討論公衛議題，這攸關我們在2019冠狀病毒疾病（COVID-19，新冠肺炎）應對上如何往前邁進。」蓬佩奧並指出，2019冠狀病毒疾病治療與疫苗研發目前進行中，美方歡迎台灣提供相關專業知識，艾薩也會對此與台方有重要談話。針對他訪台計畫，艾薩今天接受福斯新聞頻道（Fox News Channel）訪問時表示，美台擁有長期重要夥伴關係，尤其在公衛領域。他指出：「台灣在社會中一向是資訊透明、合作與協調典範，且疫情應對表現非凡。」艾薩說，他期待訪問台灣，並與衛生福利部長陳時中、總統蔡英文及其他人士會面，以推進能使台灣、美國及世界人民都受惠的美台衛生合作關係。 
covid-19,"
                                                            2020年08月06日 01:01                                                        ",https://www.ettoday.net/news/20200805/1778059.htm,衛生部長將訪台　美國務院重申「長期挺台」…符合台灣旅行法,▲美國國務院重申，衛生部長訪台符合台旅法精神，代表美國長期政策對台灣支持。（圖／路透社）文／中央社記者徐薇婷華盛頓5日專電美國衛生部長艾薩近日將訪台，是台美斷交以來訪台層級最高的美國內閣官員。美國國務院今天表示，艾薩訪台行程符合「台灣旅行法」，也重申美國長期政策與對台灣的支持。美國衛生部昨天宣布，衛生部長艾薩（Alex Azar ）近日將造訪台灣，是睽違6年來首位訪台的美國內閣級官員，層級也是1979年美台斷交以來最高。艾薩將代表美國總統川普與資深台灣官員及防疫專家會晤，討論美台夥伴關係、疫情應對及全球衛生等議題。根據外交部，艾薩訪台期間將晉見總統蔡英文，並預計拜會外交部長吳釗燮、衛生福利部長陳時中等。美國國務院今天以背景方式回覆中央社記者詢問時表示，艾薩訪台行程重申美國長期政策及對台灣的支持 ，也符合2018年3月上路的「台灣旅行法」。「台灣旅行法」是繼1979年「台灣關係法」生效後 ，美國通過的首部與台灣直接相關的國內法，旨在打破 美台斷交後諸多外交限制，鼓勵雙方各層級官員互訪與交流。美國國務院表示，如同美台雙方3月18日發表的聯 合聲明所指，美台增強在抑制2019冠狀病毒疾病（ COVID-19，新冠肺炎）擴散及舒緩疫情衝擊的合作，方式包括專家交流、資訊互享工作坊，以及捐助醫療物資給有需要國家。美國國務院指出，台灣擁有蓬勃民主並是股良善力量，世界各國若能對成功抑制疫情的「台灣模式」，及台灣為社會所做的慷慨貢獻與提供的專業知識有更多了解，想必能受益良多。美國國務院最後說，美方過去數十年來遵循「台灣關係法」，透過美台高階代表互訪等方式與台灣維繫強健非官方聯繫；美方基於美中三公報與「台灣關係法」的一中政策仍不變。►台北凱撒假日吃到飽又來啦 
covid-19,"
                                                            2020年08月05日 23:54                                                        ",https://www.ettoday.net/news/20200805/1778040.htm,女傭「全新口罩塞褲襠」加味！男演員見監視器畫面噁吐," ▲雇主觀看客廳監視器，驚見家中幫傭把口罩塞進褲檔，又放回口罩收納盒裡的噁心畫面。圖、文／鏡週刊 印尼武漢肺炎（COVID-19）疫情嚴峻，7月以來每日新增確診病例維持4位數，連偏僻的摩鹿加群島都出現感染者，人民對於保命工具「口罩」重視異常。馬來西亞的華語媒體《中國報》報導，1名49歲的印尼男演員、國家使命黨（PAN）政治人物諾莫（Eko Hendro Purnomo），日前（2）上傳一段家庭幫傭用難以理解的方式汙染雇主口罩的影片。影片的時間戳記顯示為7月26日清晨5點43分，只見一名女性幫傭在客廳整理桌面，從收納盒中撿起1片全新的口罩，趁四下無人塞進自己的褲檔。在她將衣服拉平的瞬間，雇主從門外走進來，沒有察覺任何異樣，逕自走回房間處理事情。幫傭順勢轉身，假裝整理起沙發上的枕頭，一邊觀察雇主，一邊將口罩從褲子裡掏出，再趁機放回口罩盒內。諾莫分享這段影片，提醒民眾注意身邊是否有這種「精神病患者」，網友看完紛紛留言指幫傭行徑惡劣，有人開玩笑地建議諾莫應化噁心為助力，下次競選標語可以用「分享香氣的美好」，也有網友認為諾莫應該謹慎挑選用詞，勿汙名化精神病患者。更多鏡週刊報導UNIQLO活春宮影片爆紅！　女素人出道自封「小濕妹」婦人肚子狂脹20公斤四肢卻超細　求醫無效讓她絕望等死6月開心宣布懷2寶　熱狗女友悲訴流產「想到眼淚會掉」  "
covid-19,"
                                                            2020年08月05日 23:19                                                        ",https://www.ettoday.net/news/20200805/1777951.htm,出入「8大場所」務必戴口罩！若出現1情況　陳時中：考慮改為強制,記者趙蔡州／綜合報導中央流行疫情指揮中心5日表示，考量到全球新冠肺炎（COVID-19）疫情嚴峻，加上民眾戴口罩或防疫新遵從度偏低，建議民眾未來出入醫療機構、教育場所、娛樂場所等「8類場所」，請務必要戴上口罩，若後續情況遲遲沒有改善，屆時恐會改為強制戴口罩。▲指揮官陳時中。（圖／指揮中心提供）指揮官陳時中5日下午在記者會上表示，國內民眾近期的防疫態度有些鬆散，他們為此特別列出了8個務必戴口罩的地點，包含「醫療院所、人口密集機構、大眾運輸、賣場或市集、教育學習場所、休閒娛樂場所、宗教場所及大型活動」等，希望民眾了解其必要性，配合戴口罩以降低感染風險。▲指揮中心特別列出了8個，民眾出入務必戴口罩的地點。（圖／指揮中心提供）指揮中心再次提醒，自國外入境時，如有發燒、咳嗽等不適症狀，應主動通報檢疫人員並配合防疫措施，返國後落實14天居家檢疫，如出現疑似症狀，請聯繫衛生局或各縣市關懷中心，依指示就醫，切勿搭乘大眾運輸工具，就醫時務必告知醫師旅遊史、職業別、接觸史及是否群聚（TOCC），以供及時診斷通報。 
covid-19,"
                                                            2020年08月05日 22:33                                                        ",https://www.ettoday.net/news/20200805/1777964.htm,泰國皇宮的「那個人」…示威者扮哈利波特　上街對抗曼谷佛地魔,▲泰國示威者扮成哈利波特，將泰王比做反派佛地魔。（圖／路透）記者王致凱／綜合報導泰國近期學潮再起，各地都有年輕人聚集在大學或市政廳外舉行示威抗議，譴責總理巴育領導的軍政府。近日，部分示威者開始挑戰泰國最嚴苛的「不敬罪」（lèse-majesté law），抗議泰王「拉瑪十世」瓦吉拉隆功（Maha Vajiralongkorn）。泰國法律擁有全世界最嚴苛的「不敬罪」條款，任何「詆毀、羞辱、威脅國王、王后、或其法定繼承人及攝政者」皆屬於違法，最重可能面臨15年刑期。泰國民眾不滿王室權利過大，已經侵害了民主精神不少示威者聚集曼谷民主紀念碑（Democracy Monument）前示威抗議，訴求包括解散國會、修憲制定更尊重民主的君主立憲制，並且修法取消「不敬罪」。示威者打扮成著名奇幻小說《哈利波特》內的人物，手拿「魔杖」誓言要下咒「保護民主。」示威者更將泰王比做故事中的反派「佛地魔」，諷刺在泰國不能稱呼的泰王的名字，只能和故事中描寫的一樣稱呼他為「那個人」。另外，還有示威者打扮成副總理翁素萬（Prawit Wongsuwan），借用小說中佛地魔的追隨者「食死人」（Death Eater）名稱，嘲諷他是一個「食稅人」（Tax Eater）。香港《南華早報》（SCMP）引述分析人士看法，認為泰王拉瑪十世和保皇派軍政府的統治下，泰國非常有可能重新成為專制政權。先前新冠病毒疾病（COVID-19）疫情爆發初期，泰王拉瑪十世瓦吉拉隆功便帶著20位「嬪妃」遠走德國度假勝地避疫，而非留在泰國坐鎮，早已引發泰國民眾不滿，但受限於刑法「不敬罪」，泰人也敢怒不敢言。►台北凱撒假日吃到飽又來啦 
covid-19,"
                                                            2020年08月05日 20:30                                                        ",https://www.ettoday.net/news/20200805/1777774.htm,「電腦斷層」可協助驗屍！法醫研究所說話：羅霈穎案也適用,▲法醫研究所1日起首次使用電腦斷層掃瞄輔助相驗解剖，若北檢提出需求，羅霈穎的遺體也可以使用。（圖／翻攝羅霈穎臉書）文／中央社法醫研究所今天說，1日起針對台北、士林等地檢解剖案件，首次試辦使用電腦斷層掃描輔助相驗解剖，以探求死因真相；至於藝人羅霈穎部分，目前沒有，若北檢提出需求將可使用。法務部今天下午與媒體記者茶敘，主題為「相驗免開刀 CT（電腦斷層掃描）就知道」，由法醫研究所法醫病理組長許倬憲報告，1日起，利用北區解剖室，針對台北、士林、新北等地檢署部分解剖案件試辦採用電腦斷層掃描（Computed Tomography，簡稱CT），搭配解剖探求死因真相。許倬憲指出，試辦期間為6個月，預計CT掃描10件遺體，第一件於8月4日執行士林地檢署報請解剖案件，法醫研究所將定期召開討論會議，視辦理成果評估是否延長。至於藝人羅霈穎部分，目前沒有使用CT，若北檢提出需求將可使用。CT協助相驗解剖的優點，許倬憲指出，提升司法相驗品質，減少不必要的解剖，補充解剖的不足，加強兒少保護，另外現在仍為防疫期間，經CT影像判讀，若有疑似武漢肺炎（2019冠狀病毒疾病，COVID-19），法醫師後續解剖，採高規格防護。▼法醫研究所用電腦斷層掃描技術協助驗屍。（圖／記者羅志華攝）新聞稿則提及，試辦計畫是以建立標準作業流程（SOP）、法醫教育訓練及研擬相關配套措施為目標，因此，以疑似他殺案件及重大案件，因偵查需要，檢察官認有掃描必要的案件等小範圍為主，經檢察官命令解剖並經法醫研究所建議需CT掃描的案件。新聞稿指出，將遺體運送到北區解剖室進行CT掃描，完成後再由法醫立即執行解剖，經由CT影像判讀與解剖確認死因的相互比較，建立國內CT法醫科學實證，做為未來正式全面實施基礎。法務部主秘、法醫研究所代理所長陳宏達表示，死者無法說話，需要透過法醫經過非常縝密仔細的檢驗，說出「他是怎麼死的」，不管是自然死、病死，還是他殺，找出「他是怎麼死的」是法醫所的核心價值，為死者發聲，也讓家屬安心；另外近年引用最新的DNA鑑驗技術，已幫2000多具的無名屍找到回家的路。 
